1585310294.57; ark; eur; 1.866361265058339 § bitcoin; eur; 4.649446912448525 § ethereum; eur; 2.2410915032676795 § litecoin; eur; 1.0119990287696612 § monero; eur; 10.739138491802615
1585471433.72; ark; eur; 1.6885157163805122 § bitcoin; eur; 3.7927042702821923 § ethereum; eur; 6.202634781582493 § litecoin; eur; 8.45963106707482 § monero; eur; 1.3810973783997822
1585471434.72; ark; eur; 2.523178099095541 § bitcoin; eur; 3.905358852567802 § ethereum; eur; 6.7809553075427855 § litecoin; eur; 7.208147334990079 § monero; eur; 1.4828624483871344
1585471435.73; ark; eur; 2.4976914516299296 § bitcoin; eur; 3.7927042702821923 § ethereum; eur; 7.2604167939346995 § litecoin; eur; 8.45963106707482 § monero; eur; 1.3665595112587319
1585471436.73; ark; eur; 2.8499527853373863 § bitcoin; eur; 3.9804619074248753 § ethereum; eur; 6.392511356528895 § litecoin; eur; 9.089603593346348 § monero; eur; 1.4247109798229332
1585471437.74; ark; eur; 2.9999503003551435 § bitcoin; eur; 3.7927042702821923 § ethereum; eur; 6.392511356528895 § litecoin; eur; 8.909611442983055 § monero; eur; 1.4247109798229332
1585471438.74; ark; eur; 2.4812484363194995 § bitcoin; eur; 4.867051183963006 § ethereum; eur; 6.64396631143081 § litecoin; eur; 8.72961929261976 § monero; eur; 1.4247109798229332
1585471439.74; ark; eur; 2.633161605890081 § bitcoin; eur; 5.214697697103221 § ethereum; eur; 7.123427797822725 § litecoin; eur; 6.919821441590475 § monero; eur; 1.4828624483871344
1585471440.75; ark; eur; 1.6378006699909187 § bitcoin; eur; 4.326027960572696 § ethereum; eur; 4.939905813399425 § litecoin; eur; 7.424391755039781 § monero; eur; 5.189150316536672
1585471441.76; ark; eur; 1.5748083365297294 § bitcoin; eur; 4.107541699937711 § ethereum; eur; 4.892406719039815 § litecoin; eur; 7.063984388290277 § monero; eur; 5.189150316536672
1585471442.76; ark; eur; 1.0489957587954124 § bitcoin; eur; 4.2823307084456985 § ethereum; eur; 4.8449076246802045 § litecoin; eur; 7.640636175089483 § monero; eur; 1.4537867141050338
1585471443.76; ark; eur; 1.008649768072512 § bitcoin; eur; 4.413422464826689 § ethereum; eur; 5.034904002118644 § litecoin; eur; 6.847739968240575 § monero; eur; 1.4101731126818828
1585471444.77; ark; eur; 1.353934031003597 § bitcoin; eur; 2.438340043833555 § ethereum; eur; 4.512413964162936 § litecoin; eur; 7.496473228389682 § monero; eur; 1.4101731126818828
1585471445.78; ark; eur; 1.2997766697634532 § bitcoin; eur; 2.5891652011840844 § ethereum; eur; 4.559913058522546 § litecoin; eur; 3.454257208927128 § monero; eur; 5.453902883706911
1585471446.78; ark; eur; 2.316140450007548 § bitcoin; eur; 1.1048336287386666 § ethereum; eur; 1.9020786156066622 § litecoin; eur; 3.555853009189691 § monero; eur; 5.24210082997072
1585471447.79; ark; eur; 2.384936700997871 § bitcoin; eur; 1.1490269738882133 § ethereum; eur; 1.9805148471780711 § litecoin; eur; 3.3865266754187533 § monero; eur; 5.295051343404768
1585471448.79; ark; eur; 2.99253736468618 § bitcoin; eur; 1.06064028358912 § ethereum; eur; 1.862860499820958 § litecoin; eur; 3.454257208927128 § monero; eur; 5.348001856838815
1585471449.79; ark; eur; 2.93327919904883 § bitcoin; eur; 1.0495919473017332 § ethereum; eur; 1.9216876734995145 § litecoin; eur; 3.3865266754187533 § monero; eur; 4.977348262800482
1585471450.8; ark; eur; 2.774787911358186 § bitcoin; eur; 1.5246211681005937 § ethereum; eur; 1.8824695577138102 § litecoin; eur; 3.5219877424355035 § monero; eur; 5.136199803102625
1585471451.8; ark; eur; 2.7473147637209765 § bitcoin; eur; 1.395172200997713 § ethereum; eur; 0.9943041583670801 § litecoin; eur; 3.454257208927128 § monero; eur; 5.24210082997072
1585471452.81; ark; eur; 1.9184292381571098 § bitcoin; eur; 3.367990255940278 § ethereum; eur; 1.1094341135464263 § litecoin; eur; 3.555853009189691 § monero; eur; 5.189150316536672
1585471453.81; ark; eur; 1.8630899332102702 § bitcoin; eur; 3.2717619629134127 § ethereum; eur; 1.0989677539846674 § litecoin; eur; 1.1112255065271963 § monero; eur; 4.977348262800482
1585471454.81; ark; eur; 1.0305659698009253 § bitcoin; eur; 3.1755336698865477 § ethereum; eur; 1.0675686752993914 § litecoin; eur; 1.0063929115718004 § monero; eur; 5.24210082997072
1585471455.82; ark; eur; 1.1498946610410323 § bitcoin; eur; 3.047229279184061 § ethereum; eur; 1.0047705179288389 § litecoin; eur; 3.2172003416478154 § monero; eur; 5.453902883706911
1585471456.83; ark; eur; 1.1314021330824577 § bitcoin; eur; 4.83388243772621 § ethereum; eur; 1.0361695966141151 § litecoin; eur; 3.251065608402003 § monero; eur; 5.506853397140959
1585471457.83; ark; eur; 1.2013857701803417 § bitcoin; eur; 4.690301771259095 § ethereum; eur; 2.9331056669669926 § litecoin; eur; 1.0378426900584192 § monero; eur; 5.083249289668577
1585471458.84; ark; eur; 2.0748270310334798 § bitcoin; eur; 5.00571651976157 § ethereum; eur; 2.990059175063439 § litecoin; eur; 1.090258987536117 § monero; eur; 10.273664642367907
1585471459.84; ark; eur; 1.9539633204878404 § bitcoin; eur; 4.675150334494297 § ethereum; eur; 5.365667365734509 § litecoin; eur; 1.0063929115718004 § monero; eur; 9.882286941706273
1585471460.85; ark; eur; 2.678211849181385 § bitcoin; eur; 3.228942310939967 § ethereum; eur; 5.936483042940307 § litecoin; eur; 1.1007422470316568 § monero; eur; 9.588753666210046
1585471461.85; ark; eur; 2.934636387932794 § bitcoin; eur; 2.89067216407959 § ethereum; eur; 2.990059175063439 § litecoin; eur; 1.0063929115718004 § monero; eur; 5.083249289668577
1585471462.85; ark; eur; 3.077405464427769 § bitcoin; eur; 3.0751831532761593 § ethereum; eur; 2.961582421015216 § litecoin; eur; 1.0273594305628795 § monero; eur; 5.559803910575006
1585471463.86; ark; eur; 2.961276956336155 § bitcoin; eur; 3.167438647874444 § ethereum; eur; 5.822319907499148 § litecoin; eur; 1.1112255065271963 § monero; eur; 9.588753666210046
1585471464.86; ark; eur; 1.9992430136039283 § bitcoin; eur; 1.3452804950392454 § ethereum; eur; 5.936483042940307 § litecoin; eur; 2.483872688886112 § monero; eur; 10.371509067533315
1585471465.87; ark; eur; 2.126854269791413 § bitcoin; eur; 1.3996352625155786 § ethereum; eur; 7.418056681470021 § litecoin; eur; 2.2964105991588584 § monero; eur; 9.197375965548412
1585471466.87; ark; eur; 1.246205272731338 § bitcoin; eur; 1.2089734877161942 § ethereum; eur; 6.718240013406811 § litecoin; eur; 2.226112315511138 § monero; eur; 10.371509067533315
1585471467.88; ark; eur; 1.233866606664691 § bitcoin; eur; 1.093833155552747 § ethereum; eur; 7.208111681051058 § litecoin; eur; 2.3432761215906717 § monero; eur; 9.588753666210046
1585471468.88; ark; eur; 1.0139006986003285 § bitcoin; eur; 1.1168612219854364 § ethereum; eur; 6.998166680632095 § litecoin; eur; 2.3432761215906717 § monero; eur; 9.686598091375455
1585471469.89; ark; eur; 1.0034481140786755 § bitcoin; eur; 1.1859454212835048 § ethereum; eur; 6.64825834660049 § litecoin; eur; 2.4370071664542987 § monero; eur; 10.273664642367907
1585471470.89; ark; eur; 1.6824022155170182 § bitcoin; eur; 2.511352281349037 § ethereum; eur; 6.998166680632095 § litecoin; eur; 2.2495450767270446 § monero; eur; 9.490909241044637
1585471471.89; ark; eur; 1.821157037415329 § bitcoin; eur; 2.749269865897893 § ethereum; eur; 5.421042450391365 § litecoin; eur; 6.445654333846647 § monero; eur; 9.295220390713821
1585471472.9; ark; eur; 2.5077048151169627 § bitcoin; eur; 4.641927852879804 § ethereum; eur; 5.255092171297752 § litecoin; eur; 6.384846274093377 § monero; eur; 9.882286941706273
1585471473.9; ark; eur; 2.6144156583134297 § bitcoin; eur; 4.731195696204416 § ethereum; eur; 5.199775411599881 § litecoin; eur; 6.202422094833566 § monero; eur; 9.197375965548412
1585471474.91; ark; eur; 3.16639090889624 § bitcoin; eur; 4.37412432290597 § ethereum; eur; 5.3104089309956235 § litecoin; eur; 2.2495450767270446 § monero; eur; 10.371509067533315
1585471475.92; ark; eur; 2.837803173067385 § bitcoin; eur; 4.68656177454211 § ethereum; eur; 5.421042450391365 § litecoin; eur; 6.141614035080297 § monero; eur; 10.175820217202498
1585471476.93; ark; eur; 2.398959902948898 § bitcoin; eur; 4.641550430014118 § ethereum; eur; 2.816387602165821 § litecoin; eur; 5.959189855820486 § monero; eur; 9.588753666210046
1585471477.93; ark; eur; 2.374970303919409 § bitcoin; eur; 5.085954194589938 § ethereum; eur; 2.524120964205217 § litecoin; eur; 6.080805975327026 § monero; eur; 11.442100774389349
1585471478.94; ark; eur; 1.4583962429788302 § bitcoin; eur; 3.81215586901388 § ethereum; eur; 2.524120964205217 § litecoin; eur; 5.898381796067215 § monero; eur; 10.14676861125093
1585471479.94; ark; eur; 1.5305940767896633 § bitcoin; eur; 3.81215586901388 § ethereum; eur; 2.710108824725601 § litecoin; eur; 6.384846274093377 § monero; eur; 11.118267733604744
1585471480.95; ark; eur; 0.9801735747047465 § bitcoin; eur; 3.4490934052982727 § ethereum; eur; 2.736678519085656 § litecoin; eur; 5.776765676560675 § monero; eur; 10.470601652035535
1585471481.96; ark; eur; 1.020180659386573 § bitcoin; eur; 3.666930883527637 § ethereum; eur; 2.6835391303655465 § litecoin; eur; 6.263230154586837 § monero; eur; 11.442100774389349
1585471482.96; ark; eur; 1.5198990087097162 § bitcoin; eur; 1.7610726476352505 § ethereum; eur; 1.0068686189670741 § litecoin; eur; 5.837573736313945 § monero; eur; 10.79443469282014
1585471483.96; ark; eur; 1.4313612023771114 § bitcoin; eur; 1.6390181077001342 § ethereum; eur; 0.9865278387859211 § litecoin; eur; 9.354126667724232 § monero; eur; 10.470601652035535
1585471484.97; ark; eur; 2.287195175343954 § bitcoin; eur; 0.9611557912586852 § ethereum; eur; 2.0348439941306724 § litecoin; eur; 8.648154843745044 § monero; eur; 11.334156427461147
1585471485.97; ark; eur; 2.5305138110188428 § bitcoin; eur; 1.0218603675487075 § ethereum; eur; 2.0560402857362003 § litecoin; eur; 9.177633711729435 § monero; eur; 10.470601652035535
1585471486.98; ark; eur; 2.842849415835637 § bitcoin; eur; 1.011742938167037 § ethereum; eur; 1.0170390090576507 § litecoin; eur; 9.354126667724232 § monero; eur; 10.686490345891938
1585471487.98; ark; eur; 3.082247261379691 § bitcoin; eur; 0.9915080794036963 § ethereum; eur; 1.0577205694199567 § litecoin; eur; 8.559908365747646 § monero; eur; 11.118267733604744
1585471488.98; ark; eur; 2.6656774651510924 § bitcoin; eur; 2.2132361631226334 § ethereum; eur; 2.098432868947256 § litecoin; eur; 8.736401321742443 § monero; eur; 11.118267733604744
1585471489.99; ark; eur; 2.7976416960991664 § bitcoin; eur; 2.1289224045274855 § ethereum; eur; 2.1620217437638396 § litecoin; eur; 8.38341540975285 § monero; eur; 10.902379039748341
1585471490.99; ark; eur; 1.749291063306007 § bitcoin; eur; 4.265640484046083 § ethereum; eur; 5.198574769564332 § litecoin; eur; 8.293689857599025 § monero; eur; 7.2485168087252125
1585471491.99; ark; eur; 1.7323076549243954 § bitcoin; eur; 4.225398592687157 § ethereum; eur; 5.099554297763106 § litecoin; eur; 7.730041032325306 § monero; eur; 7.618339094884662
1585471493.0; ark; eur; 1.0140462775913244 § bitcoin; eur; 4.265640484046083 § ethereum; eur; 4.901513354160656 § litecoin; eur; 7.8910835538320825 § monero; eur; 10.79443469282014
1585471494.0; ark; eur; 1.034741099582984 § bitcoin; eur; 4.064431027251456 § ethereum; eur; 5.198574769564332 § litecoin; eur; 9.001140755734639 § monero; eur; 11.334156427461147
1585471495.01; ark; eur; 1.2837678613792844 § bitcoin; eur; 4.7489545617241165 § ethereum; eur; 5.000533825961881 § litecoin; eur; 7.810562293078694 § monero; eur; 11.334156427461147
1585471496.01; ark; eur; 1.3089397802298588 § bitcoin; eur; 5.298833510976383 § ethereum; eur; 6.977131829904789 § litecoin; eur; 8.535253639859192 § monero; eur; 7.544374637652772
1585471497.01; ark; eur; 2.077530486483409 § bitcoin; eur; 3.9703976870185986 § ethereum; eur; 6.908051316737415 § litecoin; eur; 7.649519771571917 § monero; eur; 7.840232466580332
1585471498.02; ark; eur; 2.077530486483409 § bitcoin; eur; 4.259905851697038 § ethereum; eur; 6.838970803570041 § litecoin; eur; 4.741903335644195 § monero; eur; 6.952658979797652
1585471499.02; ark; eur; 2.977099569440186 § bitcoin; eur; 4.135830923977707 § ethereum; eur; 7.115292856239538 § litecoin; eur; 7.5689985108185285 § monero; eur; 7.6923035521165515
1585471500.03; ark; eur; 2.8603505667170412 § bitcoin; eur; 3.929039377778822 § ethereum; eur; 7.184373369406912 § litecoin; eur; 7.649519771571917 § monero; eur; 7.026623437029542
1585471501.03; ark; eur; 2.828684288729926 § bitcoin; eur; 4.259905851697038 § ethereum; eur; 6.769890290402667 § litecoin; eur; 7.730041032325306 § monero; eur; 7.174552351493323
1585471502.04; ark; eur; 2.9701185031664226 § bitcoin; eur; 2.317623979783866 § ethereum; eur; 6.315258675450362 § litecoin; eur; 4.384023838614445 § monero; eur; 7.544374637652772
1585471503.04; ark; eur; 1.8779172461965261 § bitcoin; eur; 1.0819892709947878 § ethereum; eur; 6.191430073970944 § litecoin; eur; 4.741903335644195 § monero; eur; 7.100587894261433
1585471504.05; ark; eur; 1.917452346116453 § bitcoin; eur; 1.0819892709947878 § ethereum; eur; 5.943772871012106 § litecoin; eur; 4.697168398515476 § monero; eur; 7.2485168087252125
1585471505.05; ark; eur; 1.1003491706341384 § bitcoin; eur; 0.9789426737571889 § ethereum; eur; 6.315258675450362 § litecoin; eur; 4.562963587129319 § monero; eur; 7.6923035521165515
1585471506.06; ark; eur; 1.146197052743894 § bitcoin; eur; 1.0407706320997483 § ethereum; eur; 6.005687171751815 § litecoin; eur; 4.473493712871882 § monero; eur; 7.174552351493323
1585471507.07; ark; eur; 1.0345843055836002 § bitcoin; eur; 1.0407706320997483 § ethereum; eur; 6.129515773231234 § litecoin; eur; 4.205084090099569 § monero; eur; 7.470410180420882
1585471508.07; ark; eur; 1.155652681768915 § bitcoin; eur; 1.6760924078485782 § ethereum; eur; 3.425417946218229 § litecoin; eur; 4.384023838614445 § monero; eur; 6.952658979797652
1585471509.08; ark; eur; 1.9007498073639897 § bitcoin; eur; 3.398297792572932 § ethereum; eur; 3.6330190338678188 § litecoin; eur; 1.309982362548233 § monero; eur; 2.5788424459124237
1585471510.08; ark; eur; 1.7878339772235547 § bitcoin; eur; 3.328229796849779 § ethereum; eur; 1.2373136545876169 § litecoin; eur; 1.392718090709174 § monero; eur; 2.8774452554391257
1585471511.09; ark; eur; 2.6609202764536013 § bitcoin; eur; 3.398297792572932 § ethereum; eur; 1.2128123941007334 § litecoin; eur; 1.4065073787359976 § monero; eur; 2.8231538355251797
1585471512.09; ark; eur; 2.9103815523711263 § bitcoin; eur; 3.608501779742392 § ethereum; eur; 3.6676192151427505 § litecoin; eur; 1.447875242816468 § monero; eur; 7.2485168087252125
1585471513.1; ark; eur; 3.0996750153006314 § bitcoin; eur; 3.468365788296085 § ethereum; eur; 3.252417039843571 § litecoin; eur; 1.4065073787359976 § monero; eur; 7.766268009348442
1585471514.1; ark; eur; 3.0996750153006314 § bitcoin; eur; 5.194793176415312 § ethereum; eur; 1.1515592428835246 § litecoin; eur; 1.309982362548233 § monero; eur; 2.796008125568207
1585471515.11; ark; eur; 2.211880420773587 § bitcoin; eur; 4.277524116333895 § ethereum; eur; 1.2740655453179421 § litecoin; eur; 1.3513502266287034 § monero; eur; 2.796008125568207
1585471516.12; ark; eur; 2.189310212398346 § bitcoin; eur; 4.414040843450935 § ethereum; eur; 1.5413721793356312 § litecoin; eur; 1.6296956524000674 § monero; eur; 2.8231538355251797
1585471517.12; ark; eur; 1.2593831362375019 § bitcoin; eur; 4.7325798733906925 § ethereum; eur; 1.4951310139555622 § litecoin; eur; 1.5167464487683797 § monero; eur; 2.741716705654261
1585471518.13; ark; eur; 1.2461264716455283 § bitcoin; eur; 4.414040843450935 § ethereum; eur; 1.5876133447157001 § litecoin; eur; 1.4065073787359976 § monero; eur; 2.850299545482153
1585471519.13; ark; eur; 0.9534337547299865 § bitcoin; eur; 4.7780854490963725 § ethereum; eur; 1.4643035703688496 § litecoin; eur; 1.33756093860188 § monero; eur; 2.796008125568207
1585471520.13; ark; eur; 0.9838624915830712 § bitcoin; eur; 2.8580351233377046 § ethereum; eur; 1.5413721793356312 § litecoin; eur; 1.4065073787359976 § monero; eur; 2.5788424459124237
1585471521.14; ark; eur; 1.6252638173860552 § bitcoin; eur; 1.2422633868328734 § ethereum; eur; 4.324039034807929 § litecoin; eur; 1.5490176498060046 § monero; eur; 2.741716705654261
1585471522.15; ark; eur; 1.5448052125649634 § bitcoin; eur; 1.1457769101856599 § ethereum; eur; 4.035769765820734 § litecoin; eur; 1.6296956524000674 § monero; eur; 2.6874252857403156
1585471523.15; ark; eur; 2.640279686658921 § bitcoin; eur; 1.2060809580901684 § ethereum; eur; 4.035769765820734 § litecoin; eur; 1.5651532503248173 § monero; eur; 2.605988155869397
1585471524.16; ark; eur; 2.460843203099577 § bitcoin; eur; 1.1578377197665617 § ethereum; eur; 3.8710444692566224 § litecoin; eur; 1.64583125291888 § monero; eur; 2.6331338658263697
1585471525.16; ark; eur; 3.179594160152604 § bitcoin; eur; 1.363892914050408 § ethereum; eur; 3.91222579339765 § litecoin; eur; 1.5812888508436298 § monero; eur; 2.850299545482153
1585471526.16; ark; eur; 3.029613303541632 § bitcoin; eur; 1.363892914050408 § ethereum; eur; 3.8710444692566224 § litecoin; eur; 1.6781024539565053 § monero; eur; 2.850299545482153
1585471527.17; ark; eur; 2.4161400446254655 § bitcoin; eur; 1.273824514065947 § ethereum; eur; 6.256968139532414 § litecoin; eur; 1.6781024539565053 § monero; eur; 2.6874252857403156
1585471528.17; ark; eur; 2.51681254648486 § bitcoin; eur; 3.060210293979218 § ethereum; eur; 6.454556607096595 § litecoin; eur; 5.209752000613195 § monero; eur; 0.9901062706356034
1585471529.18; ark; eur; 1.543264360026119 § bitcoin; eur; 2.9719349970375095 § ethereum; eur; 6.388693784575201 § litecoin; eur; 4.812818514852189 § monero; eur; 1.1165028158231272
1585471530.18; ark; eur; 1.4809102444695081 § bitcoin; eur; 4.930255572503402 § ethereum; eur; 6.454556607096595 § litecoin; eur; 5.0609019434528175 § monero; eur; 1.1059697703908336
1585471531.19; ark; eur; 0.9460929397734754 § bitcoin; eur; 4.697696347385317 § ethereum; eur; 6.19110531701102 § litecoin; eur; 5.011285257732692 § monero; eur; 1.0849036795262463
1585471532.19; ark; eur; 1.0668707618722169 § bitcoin; eur; 4.511648967290848 § ethereum; eur; 6.19110531701102 § litecoin; eur; 4.912051886292441 § monero; eur; 1.0743706340939525
1585471533.2; ark; eur; 1.4495996262746151 § bitcoin; eur; 4.5581608123144655 § ethereum; eur; 6.342785309070183 § litecoin; eur; 4.763201829132064 § monero; eur; 1.063837588661659
1585471534.21; ark; eur; 1.312844944550595 § bitcoin; eur; 4.938603043823037 § ethereum; eur; 6.810148437106934 § litecoin; eur; 4.862435200572316 § monero; eur; 1.0111723615001906
1585471535.21; ark; eur; 2.402489776106814 § bitcoin; eur; 3.4392093019402887 § ethereum; eur; 4.34914228002645 § litecoin; eur; 8.261568641958476 § monero; eur; 1.1165028158231272
1585471536.22; ark; eur; 2.9081832157515697 § bitcoin; eur; 3.2722573940791095 § ethereum; eur; 4.176899021411541 § litecoin; eur; 7.927767888748034 § monero; eur; 1.0427714977970717
1585471537.22; ark; eur; 2.9081832157515697 § bitcoin; eur; 3.5393804466569962 § ethereum; eur; 4.047716577450359 § litecoin; eur; 5.25936868633332 § monero; eur; 1.09543672495854
1585471538.23; ark; eur; 2.7080809116388624 § bitcoin; eur; 3.172086249362402 § ethereum; eur; 4.219959836065268 § litecoin; eur; 4.912051886292441 § monero; eur; 1.09543672495854
1585471539.23; ark; eur; 2.598663501067595 § bitcoin; eur; 3.339038157223581 § ethereum; eur; 4.090777392104086 § litecoin; eur; 8.261568641958476 § monero; eur; 1.0217054069324842
1585471540.24; ark; eur; 1.9002680783759096 § bitcoin; eur; 1.5550904763523414 § ethereum; eur; 4.521385538641359 § litecoin; eur; 8.678819583471531 § monero; eur; 1.063837588661659
1585471541.24; ark; eur; 1.7723654192544542 § bitcoin; eur; 1.0879689081324402 § ethereum; eur; 1.6375955589556628 § litecoin; eur; 8.678819583471531 § monero; eur; 0.9901062706356034
1585471542.24; ark; eur; 1.0993718705760724 § bitcoin; eur; 1.1093016318213116 § ethereum; eur; 1.5879714511085214 § litecoin; eur; 8.845719960076753 § monero; eur; 1.0849036795262463
1585471543.25; ark; eur; 1.034702937012774 § bitcoin; eur; 1.0453034607546974 § ethereum; eur; 1.5548887125437605 § litecoin; eur; 8.345018830261088 § monero; eur; 1.0849036795262463
1585471544.25; ark; eur; 1.1763023960113417 § bitcoin; eur; 1.0133043752213904 § ethereum; eur; 1.687219666802804 § litecoin; eur; 8.845719960076753 § monero; eur; 1.0111723615001906
1585471545.26; ark; eur; 1.188065419971455 § bitcoin; eur; 1.1199679936657472 § ethereum; eur; 1.571430081826141 § litecoin; eur; 8.51191920686631 § monero; eur; 1.0217054069324842
1585471546.26; ark; eur; 1.9304883605121548 § bitcoin; eur; 2.266889656591991 § ethereum; eur; 1.2169164848184464 § litecoin; eur; 8.65297420231226 § monero; eur; 3.7824067976270035
1585471547.26; ark; eur; 2.093055801397389 § bitcoin; eur; 2.266889656591991 § ethereum; eur; 1.0894299959327043 § litecoin; eur; 9.085622912427873 § monero; eur; 3.9794071516700766
1585471548.27; ark; eur; 2.9441287835429746 § bitcoin; eur; 4.099284781683324 § ethereum; eur; 1.2053268040106515 § litecoin; eur; 8.739503944335382 § monero; eur; 3.8612069392442327
1585471549.27; ark; eur; 3.0298801073354884 § bitcoin; eur; 4.312789197395998 § ethereum; eur; 1.2169164848184464 § litecoin; eur; 8.739503944335382 § monero; eur; 4.058207293287306
1585471550.27; ark; eur; 2.721745212718311 § bitcoin; eur; 4.270088314253463 § ethereum; eur; 1.228506165626241 § litecoin; eur; 8.99909317040475 § monero; eur; 4.137007434904535
1585471551.28; ark; eur; 3.0402473120789644 § bitcoin; eur; 4.056583898540789 § ethereum; eur; 1.1126093575482938 § litecoin; eur; 9.172152654450995 § monero; eur; 4.137007434904535
1585471552.28; ark; eur; 2.1092754751116054 § bitcoin; eur; 5.2355768337356015 § ethereum; eur; 3.4396224216503954 § litecoin; eur; 8.393384976242892 § monero; eur; 3.7824067976270035
1585471553.29; ark; eur; 2.235832003618302 § bitcoin; eur; 4.836675741641461 § ethereum; eur; 3.4396224216503954 § litecoin; eur; 5.490353900524973 § monero; eur; 4.17640750571315
1585471554.29; ark; eur; 1.1981577527678016 § bitcoin; eur; 4.03132844122558 § ethereum; eur; 3.14479764265179 § litecoin; eur; 5.378305861738749 § monero; eur; 4.137007434904535
1585471555.29; ark; eur; 1.2592882503579954 § bitcoin; eur; 4.108853988172226 § ethereum; eur; 3.37410580409515 § litecoin; eur; 5.8825220362767565 § monero; eur; 4.018807222478691
1585471556.3; ark; eur; 1.1032069163742668 § bitcoin; eur; 3.798751800385643 § ethereum; eur; 3.4723807304280183 § litecoin; eur; 5.71444997809742 § monero; eur; 3.7824067976270035
1585471557.3; ark; eur; 1.0086463235421868 § bitcoin; eur; 4.03132844122558 § ethereum; eur; 3.210314260207036 § litecoin; eur; 5.658425958704308 § monero; eur; 3.7824067976270035
1585471558.31; ark; eur; 1.6989968924460368 § bitcoin; eur; 1.9018263207652253 § ethereum; eur; 6.300831083095574 § litecoin; eur; 5.266257822952524 § monero; eur; 3.7824067976270035
1585471559.31; ark; eur; 1.8566357793740196 § bitcoin; eur; 2.078284433001174 § ethereum; eur; 6.240246168835039 § litecoin; eur; 5.322281842345636 § monero; eur; 3.821806868435618
1585471560.32; ark; eur; 2.7076516012369916 § bitcoin; eur; 0.9605679299385893 § ethereum; eur; 6.6011552279281185 § litecoin; eur; 2.0779034758833497 § monero; eur; 8.197418151713123
1585471561.32; ark; eur; 2.8148853280186543 § bitcoin; eur; 0.9705738458754497 § ethereum; eur; 6.809612761441638 § litecoin; eur; 5.8825220362767565 § monero; eur; 8.284624727795178
1585471562.33; ark; eur; 2.8648119175555915 § bitcoin; eur; 0.98057976181231 § ethereum; eur; 7.226527828468678 § litecoin; eur; 5.8825220362767565 § monero; eur; 4.018807222478691
1585471563.33; ark; eur; 2.9841790807870745 § bitcoin; eur; 1.010597509622891 § ethereum; eur; 7.0875561394596645 § litecoin; eur; 5.434329881131861 § monero; eur; 3.9794071516700766
1585471564.34; ark; eur; 2.4541452424492487 § bitcoin; eur; 1.7848451456881835 § ethereum; eur; 6.670641072432625 § litecoin; eur; 5.434329881131861 § monero; eur; 4.058207293287306
1585471565.34; ark; eur; 2.31118532541337 § bitcoin; eur; 1.9539357384375904 § ethereum; eur; 7.0875561394596645 § litecoin; eur; 1.9380445880835089 § monero; eur; 8.284624727795178
1585471566.34; ark; eur; 1.5007973292694947 § bitcoin; eur; 3.787817619174355 § ethereum; eur; 4.922652028029525 § litecoin; eur; 1.9180647469692458 § monero; eur; 8.895070760369558
1585471567.35; ark; eur; 1.3721575581892524 § bitcoin; eur; 3.787817619174355 § ethereum; eur; 5.281595405073344 § litecoin; eur; 1.898084905854983 § monero; eur; 8.72065760820545
1585471568.35; ark; eur; 0.950633588943089 § bitcoin; eur; 3.5605485620238935 § ethereum; eur; 5.435428280949267 § litecoin; eur; 1.9180647469692458 § monero; eur; 8.459037879959286
1585471569.36; ark; eur; 1.0206802744441588 § bitcoin; eur; 3.712061266790868 § ethereum; eur; 5.025207278613474 § litecoin; eur; 1.9180647469692458 § monero; eur; 8.371831303877231
1585471570.36; ark; eur; 1.5802324098468525 § bitcoin; eur; 4.873084288832514 § ethereum; eur; 5.025207278613474 § litecoin; eur; 2.0978833169976125 § monero; eur; 9.069483912533668
1585471571.38; ark; eur; 1.5802324098468525 § bitcoin; eur; 5.1217110382627435 § ethereum; eur; 2.201978511357149 § litecoin; eur; 1.898084905854983 § monero; eur; 8.546244456041341
1585471572.38; ark; eur; 2.5715269679136408 § bitcoin; eur; 4.517461297775869 § ethereum; eur; 2.292781748938887 § litecoin; eur; 1.1536058469904762 § monero; eur; 8.197418151713123
1585471573.39; ark; eur; 2.375601103691649 § bitcoin; eur; 4.256838530596491 § ethereum; eur; 2.201978511357149 § litecoin; eur; 1.1420697885205715 § monero; eur; 9.069483912533668
1585471574.39; ark; eur; 3.0843199513681787 § bitcoin; eur; 4.256838530596491 § ethereum; eur; 2.338183367729756 § litecoin; eur; 1.2228221978099048 § monero; eur; 8.371831303877231
1585471575.4; ark; eur; 2.904650827987508 § bitcoin; eur; 4.083090019143574 § ethereum; eur; 2.3608841771251905 § litecoin; eur; 1.1997500808700952 § monero; eur; 9.156690488615721
1585471576.4; ark; eur; 2.7305950834399457 § bitcoin; eur; 2.3307180104362826 § ethereum; eur; 2.4062857959160597 § litecoin; eur; 1.1882140224001905 § monero; eur; 8.72065760820545
1585471577.41; ark; eur; 2.520549307790719 § bitcoin; eur; 2.553871862499331 § ethereum; eur; 0.9427062187741773 § litecoin; eur; 1.1651419054603809 § monero; eur; 8.197418151713123
1585471578.41; ark; eur; 1.681510809878075 § bitcoin; eur; 1.1266332922225553 § ethereum; eur; 0.9427062187741773 § litecoin; eur; 1.1997500808700952 § monero; eur; 11.439946000621573
1585471579.42; ark; eur; 1.6310654855817328 § bitcoin; eur; 1.1375714795256868 § ethereum; eur; 2.5410405633031936 § litecoin; eur; 3.8071287819933883 § monero; eur; 11.549945481396781
